Varenr.,Beskrivelse,GTIN
000-BH3242,Høyskap uten sider 40 x 32cm,5707438581051
000-BH3262,Høyskap uten sider 60 x 32cm,5707438581075
000-BSC01-080,"Baderomsmøbelskap (enkelt) 80 x 43,3cm",5707439063525
000-BSC01-120,"Baderomsmøbelskap (enkelt) 120 x 43,3cm",5707439063532
000-BSC02-120,"Baderomsmøbelskap (Dobbelt) 120 x 43,3cm",5707439063549
000-BU5110,"Underskap uten hylle 100 x 51,2 cm",5707438742704
000-BU5112,"Underskap uten hylle 120 x 51,2 cm",5707438246783
000-BU5140,"Underskap 1 hylle 40 x 51,2 cm",5707438246806
000-BU5150,"Underskap uten hylle 50 x 51,2 cm",5707439055353
000-BU5160,"Underskap uten hylle 60 x 51,2 cm",5707438246813
000-BU5180,"Underskap uten hylle 80 x 51,2 cm",5707438246820
000-DC49-060,Avtrekkshetteskap 48 x 60 x 32cm,5707438989444
000-DC65-060,Avtrekkshette skap 64 x 60 x 32cm,5707438989468
000-DC81-060,Avtrekkshetteskap 80 x 60 x 32cm,5707438989482
000-DC97-060,Avtrekkshetteskap 96 x 60 x 32cm,5707438989505
000-DH185-075,Høyt innbyggingsskap uten sider 2 hyller 75 x 56cm,5707439068773
000-DH188-075,Korpuspakke for kjøleskap uten ventilasjon 75 x,5707439068780
000-DH194-040,Høyskap uten sider 40 x 56cm,5707438041180
000-DH194-050,Høyskap uten sider 50 x 56cm,5707438041197
000-DH194-060,Høyskap uten sider 60 x 56cm,5707438041203
000-DH194-080,Høyskap uten sider 80 x 56cm,5707438041210
000-DH194-100,Høyskap uten sider 100 x 56cm,5707438041227
000-DH195-060,Høyt innbyggingsskap uten sider 2 hyller 60 x 56cm,5707438041234
000-DH196-060,Høyt innbyggingsskap uten sider uten hylle 60 x 56,5707438350336
000-DH197-060,Høyt innbyggingsskap uten sider 63 x 56cm,5707438350367
000-DH198-060,Korpuspakke for kjøleskap uten ventilasjon 60 x,5707438986221
000-DO63-080,Veggskap 2 hyller (19) 64 x 80 x 32cm,5707438564535
000-DO64-030,Overskap 2 hyller 64 x 30 x 32cm,5707438019684
000-DO64-040,Veggskap 2 hyller 64 x 40 x 32cm,5707438019691
000-DO64-050,Overskap 2 hyller 64 x 50 x 32cm,5707438019707
000-DO64-060,Overskap 2 hyller 64 x 60 x 32cm,5707438019714
000-DO80-030,Overskap 2 hyller 80 x 30 x 32cm,5707438041241
000-DO80-040,Overskap 2 hyller 80 x 40 x 32cm,5707438041258
000-DO80-050,Overskap 2 hyller 80 x 50 x 32cm,5707438041265
000-DO80-060,Overskap 2 hyller 80 x 60 x 32cm,5707438041272
000-DO80-080,Overskap 2 hyller 80 x 80 x 32cm,5707438041289
000-DO83-080,Veggskap 2 hyller (19) 80 x 80 x 32cm,5707438564573
000-DO96-040,Veggskap 2 hyller 96 x 40 x 32cm,5707438580269
000-DO96-050,Overskap 2 hyller 96 x 50 x 32cm,5707438580276
000-DO96-060,Veggskap 2 hyller 96 x 60 x 32cm,5707438580283
000-DO96-080,Overskap 2 hyller 96 x 80 x 32cm,5707438580290
000-DO97-080,Veggskap 2 hyller (19) 96 x 80 x 32cm,5707438580337
